250V_1	250C_1	200V_1	200C_1	166V_1	166C_1	140V_1	140C_1	100V_1	100C_1	050V_1	050C_1	036V_1	036C_1	025V_1	025C_1	020V_1	020C_1	017V_1	017C_1	014V_1	014C_1	010V_1	010C_1
-1.6667	-3.93E-05	-0.75	-3.93E-07	-0.2	-9.89E-09	0.3333	1.09E-08	0.9	1.51E-07	0.9	1.23E-07	0.9	9.25E-08	0.9	6.81E-08	0.9	4.62E-08	0.9	3.91E-08	0.9	2.69E-08	0.9	1.98E-08
-1.7333	-4.03E-05	-0.8	-4.98E-07	-0.24	-1.45E-08	0.303	8.89E-09	0.88	1.40E-07	0.88	1.13E-07	0.88	8.47E-08	0.88	6.22E-08	0.88	4.17E-08	0.88	3.55E-08	0.88	2.42E-08	0.88	1.79E-08
-1.8	-4.27E-05	-0.85	-6.13E-07	-0.28	-1.90E-08	0.2727	7.23E-09	0.86	1.29E-07	0.86	1.04E-07	0.86	7.81E-08	0.86	5.57E-08	0.86	3.81E-08	0.86	3.61E-08	0.86	2.18E-08	0.86	1.59E-08
-1.8667	-4.31E-05	-0.9	-7.36E-07	-0.32	-2.56E-08	0.2424	5.81E-09	0.84	1.20E-07	0.84	9.60E-08	0.84	7.15E-08	0.84	5.10E-08	0.84	3.43E-08	0.84	3.11E-08	0.84	1.95E-08	0.84	1.44E-08
-1.9333	-4.40E-05	-0.95	-8.46E-07	-0.36	-3.29E-08	0.2121	4.60E-09	0.82	1.11E-07	0.82	8.86E-08	0.82	6.55E-08	0.82	4.62E-08	0.82	3.11E-08	0.82	2.86E-08	0.82	1.75E-08	0.82	1.30E-08
-2	-4.37E-05	-1	-1.01E-06	-0.4	-4.23E-08	0.1818	3.67E-09	0.8	1.01E-07	0.8	8.10E-08	0.8	6.03E-08	0.8	4.20E-08	0.8	2.82E-08	0.8	2.55E-08	0.8	1.58E-08	0.8	1.15E-08
-1.9333	-3.48E-05	-1.05	-1.72E-06	-0.44	-5.59E-08	0.1515	2.72E-09	0.78	9.23E-08	0.78	7.47E-08	0.78	5.51E-08	0.78	3.77E-08	0.78	2.53E-08	0.78	2.14E-08	0.78	1.41E-08	0.78	1.02E-08
-1.8667	-2.86E-05	-1.1	-3.28E-06	-0.48	-7.02E-08	0.1212	1.97E-09	0.76	8.52E-08	0.76	6.81E-08	0.76	5.00E-08	0.76	3.39E-08	0.76	2.28E-08	0.76	1.85E-08	0.76	1.27E-08	0.76	9.16E-09
-1.8	-2.44E-05	-1.15	-6.49E-06	-0.52	-8.99E-08	0.0909	1.34E-09	0.74	7.77E-08	0.74	6.24E-08	0.74	4.52E-08	0.74	3.06E-08	0.74	2.04E-08	0.74	1.70E-08	0.74	1.14E-08	0.74	8.09E-09
-1.7333	-2.03E-05	-1.2	-1.49E-05	-0.56	-1.12E-07	0.0606	8.16E-10	0.72	7.14E-08	0.72	5.66E-08	0.72	4.15E-08	0.72	2.75E-08	0.72	1.83E-08	0.72	1.49E-08	0.72	1.03E-08	0.72	7.26E-09
-1.6667	-1.73E-05	-1.25	-2.10E-05	-0.6	-1.41E-07	0.0303	4.03E-10	0.7	6.49E-08	0.7	5.12E-08	0.7	3.72E-08	0.7	2.45E-08	0.7	1.63E-08	0.7	1.34E-08	0.7	9.14E-09	0.7	6.43E-09
-1.6	-1.49E-05	-1.3	-2.78E-05	-0.64	-1.77E-07	0	7.37E-12	0.68	5.91E-08	0.68	4.61E-08	0.68	3.33E-08	0.68	2.21E-08	0.68	1.45E-08	0.68	1.21E-08	0.68	8.21E-09	0.68	5.76E-09
-1.5333	-1.27E-05	-1.35	-3.48E-05	-0.68	-2.18E-07	-0.0303	-2.92E-10	0.66	5.37E-08	0.66	4.13E-08	0.66	3.02E-08	0.66	1.98E-08	0.66	1.30E-08	0.66	1.07E-08	0.66	7.22E-09	0.66	5.12E-09
-1.4667	-1.08E-05	-1.4	-4.12E-05	-0.72	-2.73E-07	-0.0606	-8.37E-10	0.64	4.84E-08	0.64	3.72E-08	0.64	2.67E-08	0.64	1.75E-08	0.64	1.14E-08	0.64	9.57E-09	0.64	6.38E-09	0.64	4.58E-09
-1.4	-8.89E-06	-1.45	-4.57E-05	-0.76	-3.35E-07	-0.0909	-1.04E-09	0.62	4.38E-08	0.62	3.34E-08	0.62	2.40E-08	0.62	1.56E-08	0.62	1.02E-08	0.62	8.41E-09	0.62	5.57E-09	0.62	4.05E-09
-1.3333	-7.41E-06	-1.5	-5.01E-05	-0.8	-4.04E-07	-0.1212	-2.28E-09	0.6	3.91E-08	0.6	2.99E-08	0.6	2.14E-08	0.6	1.40E-08	0.6	9.03E-09	0.6	7.76E-09	0.6	4.89E-09	0.6	3.50E-09
-1.2667	-6.28E-06	-1.55	-5.17E-05	-0.84	-4.89E-07	-0.1515	-3.15E-09	0.58	3.48E-08	0.58	2.67E-08	0.58	1.91E-08	0.58	1.22E-08	0.58	7.93E-09	0.58	6.38E-09	0.58	4.36E-09	0.58	3.07E-09
-1.2	-5.28E-06	-1.6	-5.32E-05	-0.88	-5.74E-07	-0.1818	-4.33E-09	0.56	3.13E-08	0.56	2.37E-08	0.56	1.70E-08	0.56	1.08E-08	0.56	7.04E-09	0.56	5.90E-09	0.56	3.84E-09	0.56	2.70E-09
-1.1333	-4.44E-06	-1.65	-5.37E-05	-0.92	-6.49E-07	-0.2121	-5.75E-09	0.54	2.78E-08	0.54	2.09E-08	0.54	1.50E-08	0.54	9.74E-09	0.54	6.22E-09	0.54	5.22E-09	0.54	3.35E-09	0.54	2.44E-09
-1.0667	-3.62E-06	-1.7	-5.44E-05	-0.96	-7.42E-07	-0.2424	-7.40E-09	0.52	2.46E-08	0.52	1.82E-08	0.52	1.32E-08	0.52	8.44E-09	0.52	5.38E-09	0.52	4.87E-09	0.52	2.96E-09	0.52	2.12E-09
-1	-2.88E-06	-1.75	-5.40E-05	-1	-1.29E-06	-0.2727	-9.70E-09	0.5	2.18E-08	0.5	1.61E-08	0.5	1.16E-08	0.5	7.40E-09	0.5	4.70E-09	0.5	4.40E-09	0.5	2.65E-09	0.5	1.86E-09
-0.9333	-2.26E-06	-1.8	-5.32E-05	-1.04	-2.32E-06	-0.303	-1.26E-08	0.48	1.93E-08	0.48	1.42E-08	0.48	1.02E-08	0.48	6.48E-09	0.48	4.14E-09	0.48	3.98E-09	0.48	2.38E-09	0.48	1.64E-09
-0.8667	-1.76E-06	-1.85	-5.28E-05	-1.08	-4.35E-06	-0.3333	-1.56E-08	0.46	1.70E-08	0.46	1.25E-08	0.46	8.93E-09	0.46	5.60E-09	0.46	3.59E-09	0.46	3.33E-09	0.46	2.11E-09	0.46	1.43E-09
-0.8	-1.27E-06	-1.9	-5.19E-05	-1.12	-7.71E-06	-0.3636	-1.93E-08	0.44	1.51E-08	0.44	1.09E-08	0.44	7.98E-09	0.44	4.87E-09	0.44	3.15E-09	0.44	3.07E-09	0.44	1.90E-09	0.44	1.37E-09
-0.7333	-9.27E-07	-1.95	-5.09E-05	-1.16	-1.60E-05	-0.3939	-2.42E-08	0.42	1.32E-08	0.42	9.54E-09	0.42	6.98E-09	0.42	4.32E-09	0.42	2.85E-09	0.42	2.74E-09	0.42	1.65E-09	0.42	1.06E-09
-0.6667	-6.62E-07	-2	-4.99E-05	-1.2	-2.20E-05	-0.4242	-3.04E-08	0.4	1.16E-08	0.4	8.29E-09	0.4	6.09E-09	0.4	3.76E-09	0.4	2.32E-09	0.4	2.34E-09	0.4	1.42E-09	0.4	9.10E-10
